Tm (UTC),Qnet,Qnet_clean,lowpass
2012-12-24 03:00:00,-124.9624294759548,-124.9624294759548,-74.0285134146159
2012-12-24 04:00:00,-118.42244845401578,-118.42244845401578,-76.8776680571049
2012-12-24 05:00:00,-116.02500749685235,-116.02500749685235,-79.75296860086657
2012-12-24 06:00:00,-110.34991321478424,-110.34991321478424,-82.56842072479925
2012-12-24 07:00:00,-104.58835814033327,-104.58835814033327,-85.24872693665453
2012-12-24 08:00:00,-104.4324828389695,-104.4324828389695,-87.7321460925275
2012-12-24 09:00:00,-111.9129188626541,-111.9129188626541,-89.97261386508377
2012-12-24 10:00:00,-149.83365313914385,-149.83365313914385,-91.9410487203873
2012-12-24 11:00:00,-161.8323199332311,-161.8323199332311,-93.6257898947956
2012-12-24 12:00:00,-157.95834017157847,-157.95834017157847,-95.03213727280793
2012-12-24 13:00:00,-163.10842960898606,-163.10842960898606,-96.18099393610463
2012-12-24 14:00:00,-165.82547524967475,-165.82547524967475,-97.1066537455792
2012-12-24 15:00:00,-143.44336229780882,-143.44336229780882,-97.85382704027167
2012-12-24 16:00:00,-123.5017376143885,-123.5017376143885,-98.47405279885338
2012-12-24 17:00:00,-84.47330485108702,-84.47330485108702,-99.0217002348799
2012-12-24 18:00:00,-28.667285352319713,-28.667285352319713,-99.54981081897951
2012-12-24 19:00:00,20.805661936221163,20.805661936221163,-100.10606533016889
2012-12-24 20:00:00,23.530308562678535,23.530308562678535,-100.72917061794011
2012-12-24 21:00:00,8.658106229487723,8.658106229487723,-101.44593953418254
2012-12-24 22:00:00,56.58557142916558,56.58557142916558,-102.26928280596378
2012-12-24 23:00:00,-45.89584070541375,-45.89584070541375,-103.19724936178822
2012-12-25 00:00:00,-102.37826576648929,-102.37826576648929,-104.2131533873678
2012-12-25 01:00:00,-142.96278032894438,-142.96278032894438,-105.28672646509938
2012-12-25 02:00:00,-172.51359797093903,-172.51359797093903,-106.37614838232369
2012-12-25 03:00:00,-112.60318074443036,-112.60318074443036,-107.43075658274373
2012-12-25 04:00:00,-105.5915700167622,-105.5915700167622,-108.39421779334373
2012-12-25 05:00:00,-98.09411899625681,-98.09411899625681,-109.20795690678906
2012-12-25 06:00:00,-115.06845575922694,-115.06845575922694,-109.81465947534717
2012-12-25 07:00:00,-143.83032336498394,-143.83032336498394,-110.16168015518477
2012-12-25 08:00:00,-159.95884765764885,-159.95884765764885,-110.20419660951566
2012-12-25 09:00:00,-158.24786008069444,-158.24786008069444,-109.90795339056042
2012-12-25 10:00:00,-168.26798303576373,-168.26798303576373,-109.25145232981919
2012-12-25 11:00:00,-168.57484170978023,-168.57484170978023,-108.22746997614856
2012-12-25 12:00:00,-152.71075494929752,-152.71075494929752,-106.84381801671036
2012-12-25 13:00:00,-151.81433510674248,-151.81433510674248,-105.12330570086935
2012-12-25 14:00:00,-134.31539320496717,-134.31539320496717,-103.10290988161874
2012-12-25 15:00:00,-123.5399770410365,-123.5399770410365,-100.83220450046518
2012-12-25 16:00:00,-112.6018438629459,-112.6018438629459,-98.37114378017685
2012-12-25 17:00:00,-96.371092906788,-96.371092906788,-95.78732958673045
2012-12-25 18:00:00,-77.37596096217233,-77.37596096217233,-93.15292185902558
2012-12-25 19:00:00,-68.8652373567968,-68.8652373567968,-90.54137069889264
2012-12-25 20:00:00,-34.454888291112034,-34.454888291112034,-88.02415875436509
2012-12-25 21:00:00,-4.428733724372298,-4.428733724372298,-85.66774173886938
2012-12-25 22:00:00,-21.282981944858772,-21.282981944858772,-83.53086158906046
2012-12-25 23:00:00,22.70589131333638,22.70589131333638,-81.66237887519985
2012-12-26 00:00:00,-30.582068677833796,-30.582068677833796,-80.09972795388708
2012-12-26 01:00:00,-88.91846936100907,-88.91846936100907,-78.8680426997886
2012-12-26 02:00:00,-101.82897609570988,-101.82897609570988,-77.97993981922812
2012-12-26 03:00:00,-95.11807208459584,-95.11807208459584,-77.43589251561971
2012-12-26 04:00:00,-88.62127515357635,-88.62127515357635,-77.22509166824646
2012-12-26 05:00:00,-87.63369420496987,-87.63369420496987,-77.3266791953625
2012-12-26 06:00:00,-97.79637019157902,-97.79637019157902,-77.7112429422241
2012-12-26 07:00:00,-71.32925171861586,-71.32925171861586,-78.34247422419763
2012-12-26 08:00:00,-70.59966526308206,-70.59966526308206,-79.17890137999406
2012-12-26 09:00:00,-105.68300032537093,-105.68300032537093,-80.17562278477601
2012-12-26 10:00:00,-111.4216216716992,-111.4216216716992,-81.28596987405523
2012-12-26 11:00:00,-104.19690283590162,-104.19690283590162,-82.46303597378456
2012-12-26 12:00:00,-105.5679219292357,-105.5679219292357,-83.66101404655615
2012-12-26 13:00:00,-113.51615934434889,-113.51615934434889,-84.83629943801279
2012-12-26 14:00:00,-137.80004047664255,-137.80004047664255,-85.94833215210409
2012-12-26 15:00:00,-117.39290967042396,-117.39290967042396,-86.96017488631574
2012-12-26 16:00:00,-68.58570324154098,-68.58570324154098,-87.838847332802
2012-12-26 17:00:00,-61.44600772563482,-61.44600772563482,-88.55546362757859
2012-12-26 18:00:00,-51.95317261648591,-51.95317261648591,-89.08524373485382
2012-12-26 19:00:00,-38.75929421230872,-38.75929421230872,-89.40748276561033
2012-12-26 20:00:00,-21.078712705511055,-21.078712705511055,-89.50555889404713
2012-12-26 21:00:00,-68.48589035915782,-68.48589035915782,-89.36704081194083
2012-12-26 22:00:00,-79.09492973413818,-79.09492973413818,-88.98392377162925
2012-12-26 23:00:00,-93.89299559603376,-93.89299559603376,-88.35298551882566
2012-12-27 00:00:00,-111.59570314995312,-111.59570314995312,-87.47621813075214
2012-12-27 01:00:00,-128.2790298277731,-128.2790298277731,-86.36126706193699
2012-12-27 02:00:00,-108.96091011544922,-108.96091011544922,-85.02179883158195
2012-12-27 03:00:00,-102.55743888222213,-102.55743888222213,-83.47772354479349
2012-12-27 04:00:00,-98.98365830422463,-98.98365830422463,-81.75521448290255
2012-12-27 05:00:00,-101.82840832536472,-101.82840832536472,-79.88648887928231
2012-12-27 06:00:00,-89.78394008584931,-89.78394008584931,-77.90933620958755
