Y,M,D,h,min,SAL
2013,5,8,12,50,30.7
2013,5,8,13,0,30.7
2013,5,8,13,10,30.5
2013,5,8,13,20,30.3
2013,5,8,13,30,30.4
2013,5,8,13,40,30.4
2013,5,8,13,50,30.4
2013,5,8,14,0,30.5
2013,5,8,14,10,30.5
2013,5,8,14,20,30.3
2013,5,8,14,30,29.9
2013,5,8,14,40,29.8
2013,5,8,14,50,29.8
2013,5,8,15,0,29.8
2013,5,8,15,10,29.8
2013,5,8,15,20,29.8
2013,5,8,15,30,29.9
2013,5,8,15,40,30
2013,5,8,15,50,29.8
2013,5,8,16,0,29.9
2013,5,8,16,10,29.8
2013,5,8,16,20,30
2013,5,8,16,30,29.8
2013,5,8,16,40,29.9
2013,5,8,16,50,30.2
2013,5,8,17,0,30.2
2013,5,8,17,10,30.4
2013,5,8,17,20,30.2
2013,5,8,17,30,30.1
2013,5,8,17,40,30
2013,5,8,17,50,30.1
2013,5,8,18,0,30
2013,5,8,18,10,30.1
2013,5,8,18,20,30
2013,5,8,18,30,30
2013,5,8,18,40,30
2013,5,8,18,50,30.1
2013,5,8,19,0,30.1
2013,5,8,19,10,30.1
2013,5,8,19,20,30
2013,5,8,19,30,30.1
2013,5,8,19,40,30.1
2013,5,8,19,50,30
2013,5,8,20,0,30.1
2013,5,8,20,10,30.1
2013,5,8,20,20,30.1
2013,5,8,20,30,30.1
2013,5,8,20,40,30.1
2013,5,8,20,50,30.1
2013,5,8,21,0,30
2013,5,8,21,10,30.1
2013,5,8,21,20,30.1
2013,5,8,21,30,30.1
2013,5,8,21,40,30.1
2013,5,8,21,50,30.1
2013,5,8,22,0,29.9
2013,5,8,22,10,30
2013,5,8,22,20,29.9
2013,5,8,22,30,29.7
2013,5,8,22,40,29.6
2013,5,8,22,50,29.7
2013,5,8,23,0,29.6
2013,5,8,23,10,29.6
2013,5,8,23,20,29.7
2013,5,8,23,30,29.7
2013,5,8,23,40,29.7
2013,5,8,23,50,29.8
2013,5,9,0,0,29.8
2013,5,9,0,10,29.9
2013,5,9,0,20,29.9
2013,5,9,0,30,29.9
2013,5,9,0,40,29.9
2013,5,9,0,50,30
2013,5,9,1,0,29.9
2013,5,9,1,10,30
2013,5,9,1,20,30
2013,5,9,1,30,29.9
2013,5,9,1,40,29.9
2013,5,9,1,50,29.8
2013,5,9,2,0,29.7
2013,5,9,2,10,29.6
2013,5,9,2,20,29.6
2013,5,9,2,30,29.6
2013,5,9,2,40,29.6
2013,5,9,2,50,29.5
2013,5,9,3,0,29.5
2013,5,9,3,10,29.5
2013,5,9,3,20,29.4
2013,5,9,3,30,29.4
2013,5,9,3,40,29.4
2013,5,9,3,50,29.4
2013,5,9,4,0,29.5
2013,5,9,4,10,29.5
2013,5,9,4,20,29.5
2013,5,9,4,30,29.5
2013,5,9,4,40,29.6
2013,5,9,4,50,29.7
2013,5,9,5,0,29.7
2013,5,9,5,10,29.7
2013,5,9,5,20,29.8
2013,5,9,5,30,29.7
2013,5,9,5,40,29.7
2013,5,9,5,50,29.7
2013,5,9,6,0,29.9
2013,5,9,6,10,29.9
2013,5,9,6,20,30
2013,5,9,6,30,30.1
2013,5,9,6,40,30.2
2013,5,9,6,50,30.2
2013,5,9,7,0,30.3
2013,5,9,7,10,30.4
2013,5,9,7,20,30.4
2013,5,9,7,30,30.4
2013,5,9,7,40,30.4
2013,5,9,7,50,30.5
2013,5,9,8,0,30.5
2013,5,9,8,10,30.5
2013,5,9,8,20,30.6
2013,5,9,8,30,30.6
2013,5,9,8,40,30.6
2013,5,9,8,50,30.7
2013,5,9,9,0,30.6
2013,5,9,9,10,30.6
